Message_Timestamp;RecNo;Market_Data_Group;DSS_ID;Message_Type;Order_ID;Instrument_ID;Instrument_Identification_Code;Currency;Source_Venue;Order_Book_Type;Side;Size;Price;Old_Price;Old_Size
2023-09-20 15:30:00.000;115300000035;84;6257269;Delete;216771245005056280;360287993685287532;IE00BJGWQN72;USD;5;3;S;;;29.83500000;1700.00000000
2023-09-20 15:30:00.000;115300000036;84;6257270;Delete;216771209574714614;360287970343805932;ES0177542018;GBX;5;3;S;;;156.20000000;10703.00000000
2023-09-20 15:30:00.000;115300000037;84;6257271;Delete;216771208501221913;360287970331239404;GB0007668071;GBX;5;3;S;;;867.50000000;36.00000000
2023-09-20 15:30:00.000;115300000038;84;6257272;Delete;216771209574434647;360287970343805932;ES0177542018;GBX;5;3;S;;;156.25000000;10703.00000000
2023-09-20 15:30:00.000;115300000039;84;6257272;Add;216771209574429604;360287970343805932;ES0177542018;GBX;5;3;S;10703.00000000;156.30000000;;
2023-09-20 15:30:00.000;115300000040;84;6257273;Delete;216771245005057163;360287993685287532;IE00BJGWQN72;USD;5;3;B;;;29.74500000;1700.00000000
2023-09-20 15:30:00.000;115300000041;84;6257274;Delete;216771208501320066;360287970364545388;AU000000S320;GBX;5;3;B;;;174.20000000;578.00000000
2023-09-20 15:30:00.000;115300000042;84;6257276;Delete;216771245005048800;360287970344100716;IE0005042456;GBX;5;3;S;;;753.80000000;12800.00000000
2023-09-20 15:30:00.000;115300000043;84;6257277;Delete;216771210648799621;360287988347904236;GB00BJFFLV09;GBX;5;3;S;;;5056.00000000;10.00000000
2023-09-20 15:30:00.000;115300000044;84;6257277;Add;216771210644555329;360287988347904236;GB00BJFFLV09;GBX;5;3;S;30.00000000;5300.00000000;;
2023-09-20 15:30:00.001;115300000045;84;6257278;Delete;216771245005035031;360287970344100716;IE0005042456;GBX;5;3;B;;;752.80000000;12800.00000000
2023-09-20 15:30:00.001;115300000046;84;6257279;Delete;216771209574725839;360287970343805932;ES0177542018;GBX;5;3;B;;;155.70000000;10703.00000000
2023-09-20 15:30:00.001;115300000047;84;6257280;Delete;216771243931282779;360287992655586156;IE00BWBXM500;USD;5;3;B;;;39.93000000;1300.00000000
2023-09-20 15:30:00.001;115300000048;84;6257281;Delete;216771242857871774;360287992655588076;IE00BWBXMB69;USD;5;3;S;;;38.30750000;1300.00000000
2023-09-20 15:30:00.001;115300000049;84;6257282;Delete;216771225680319776;360287988618423148;GB0000055888;GBX;5;3;S;;;708.00000000;46.00000000
2023-09-20 15:30:00.001;115300000050;84;6257283;Delete;216771242857871859;360287993991457900;LU0292097234;GBX;5;3;B;;;763.30000000;12600.00000000
2023-09-20 15:30:00.001;115300000051;84;6257284;Delete;216771243931292781;360287990694287468;LU1650492173;GBX;5;3;B;;;1280.20000000;7500.00000000
2023-09-20 15:30:00.001;115300000052;84;6257285;Delete;216771246078931452;360287992655587436;IE00BWBXM385;USD;5;3;S;;;35.96750000;1400.00000000
2023-09-20 15:30:00.001;115300000053;84;6257286;Delete;216771243931292569;360287992655586156;IE00BWBXM500;USD;5;3;S;;;40.19500000;1300.00000000
2023-09-20 15:30:00.001;115300000054;84;6257287;Delete;216771242857870869;360287992655588076;IE00BWBXMB69;USD;5;3;B;;;38.02750000;1300.00000000
2023-09-20 15:30:00.001;115300000055;84;6257288;Delete;216771243931292745;360287990694287468;LU1650492173;GBX;5;3;S;;;1286.60000000;7500.00000000
2023-09-20 15:30:00.001;115300000056;84;6257289;Delete;216771209574746231;360287970343805932;ES0177542018;GBX;5;3;S;;;156.10000000;10703.00000000
2023-09-20 15:30:00.001;115300000057;84;6257290;Delete;216771227828070711;360287989677646060;GB0004052071;GBX;5;3;B;;;2068.00000000;154.00000000
2023-09-20 15:30:00.001;115300000058;84;6257290;Add;216771227827986772;360287989677646060;GB0004052071;GBX;5;3;B;142.00000000;2047.00000000;;
